name,region
インド,アジア
インドネシア,アジア
カンボジア,アジア
シンガポール,アジア
スリランカ,アジア
タイ,アジア
韓国,アジア
中国,アジア
ネパール,アジア
パキスタン,アジア
バングラデシュ,アジア
フィリピン,アジア
ブータン,アジア
ベトナム,アジア
台湾,アジア
マカオ,アジア
モンゴル,アジア
ミャンマー,アジア
マレーシア,アジア
その他,アジア
イタリア,ヨーロッパ
イギリス,ヨーロッパ
オーストリア,ヨーロッパ
オランダ,ヨーロッパ
ギリシャ,ヨーロッパ
クロアチア,ヨーロッパ
スイス,ヨーロッパ
スウェーデン,ヨーロッパ
デンマーク,ヨーロッパ
ドイツ,ヨーロッパ
フィンランド,ヨーロッパ
フランス,ヨーロッパ
ブルガリア,ヨーロッパ
ポーランド,ヨーロッパ
ポルトガル,ヨーロッパ
ルーマニア,ヨーロッパ
ロシア,ヨーロッパ
スペイン,ヨーロッパ
その他,ヨーロッパ
アラブ首長国連邦,中東
サウジアラビア,中東
ジョージア,中東
トルコ,中東
イラン,中東
イラク,中東
シリア,中東
オマーン,中東
カタール,中東
イスラエル,中東
その他,中東
アメリカ,北アメリカ
カナダ,北アメリカ
キューバ,北アメリカ
コスタリカ,北アメリカ
ハイチ,北アメリカ
ジャマイカ,北アメリカ
メキシコ,北アメリカ
その他,北アメリカ
アルゼンチン,南アメリカ
コロンビア,南アメリカ
ペルー,南アメリカ
ブラジル,南アメリカ
チリ,南アメリカ
その他,南アメリカ
エジプト,アフリカ
エチオピア,アフリカ
ガーナ,アフリカ
ケニア,アフリカ
コートジボワール,アフリカ
スーダン,アフリカ
セネガル,アフリカ
ナイジェリア,アフリカ
モロッコ,アフリカ
南アフリカ共和国,アフリカ
その他,アフリカ
オーストラリア,オセアニア
ニュージーランド,オセアニア
その他,オセアニア
